host	virus	no.multipart	vir.abbr	habitat	collection	site	taxon
31	151	CMV	CMV3	Crop	M5V	M1	Cucumis_melo
40	209	PZSV	PZSV3	Edge	L3F	L3	Diplotaxis_erucoides
25	217	RuCMV	RuCMV	Edge	L1F	L1	Chenopodium_album
31	151	CMV	CMV2	Crop	M5V	M1	Cucumis_melo
31	151	CMV	CMV1	Crop	M5V	M1	Cucumis_melo
27	151	CMV	CMV3	Edge	L2P	L2	Convolvulus_arvensis
2	217	RuCMV	RuCMV	Edge	L2F	L2	Amaranthus_sp
46	209	PZSV	PZSV3	Edge	L3F	L3	Eruca_vesicaria
31	258	WMV	WMV	Crop	M2V	M2	Cucumis_melo
40	209	PZSV	PZSV2	Edge	L3F	L3	Diplotaxis_erucoides
31	258	WMV	WMV	Crop	M1V	M1	Cucumis_melo
40	209	PZSV	PZSV3	Crop	M3V	M3	Diplotaxis_erucoides
27	151	CMV	CMV3	Crop	M1V	M1	Convolvulus_arvensis
31	258	WMV	WMV	Crop	M1V	M1	Cucumis_melo
40	209	PZSV	PZSV3	Edge	L3P	L3	Diplotaxis_erucoides
77	151	CMV	CMV3	Crop	M1V	M1	Portulaca_oleraceae
46	209	PZSV	PZSV2	Edge	L3F	L3	Eruca_vesicaria
55	139	BYDV_PAV	BYDV_PAV	Crop	H3P	H3	Hordeum_vulgare
27	151	CMV	CMV1	Edge	L2P	L2	Convolvulus_arvensis
40	209	PZSV	PZSV1	Edge	L3F	L3	Diplotaxis_erucoides
27	151	CMV	CMV2	Edge	L2P	L2	Convolvulus_arvensis
31	151	CMV	CMV3	Crop	M1V	M1	Cucumis_melo
27	151	CMV	CMV1	Crop	M1V	M1	Convolvulus_arvensis
25	217	RuCMV	RuCMV	Edge	L1V	L1	Chenopodium_album
27	151	CMV	CMV2	Crop	M1V	M1	Convolvulus_arvensis
55	139	BYDV_PAV	BYDV_PAV	Crop	H2P	H2	Hordeum_vulgare
40	209	PZSV	PZSV2	Crop	M3V	M3	Diplotaxis_erucoides
77	151	CMV	CMV1	Crop	M1V	M1	Portulaca_oleraceae
2	133	BWYV	BWYV	Edge	L3F	L3	Amaranthus_sp
40	209	PZSV	PZSV2	Edge	L3P	L3	Diplotaxis_erucoides
46	209	PZSV	PZSV1	Edge	L3F	L3	Eruca_vesicaria
77	151	CMV	CMV2	Crop	M1V	M1	Portulaca_oleraceae
55	134	BYDV_GAV	BYDV_GAV	Crop	H3P	H3	Hordeum_vulgare
31	151	CMV	CMV2	Crop	M1V	M1	Cucumis_melo
31	151	CMV	CMV1	Crop	M1V	M1	Cucumis_melo
55	137	BYDV_MAV	BYDV_MAV	Crop	H3P	H3	Hordeum_vulgare
25	209	PZSV	PZSV3	Edge	L3V	L3	Chenopodium_album
53	249	TuYV	TuYV	Edge	L4P	L4	Hirschfeldia_incana
55	138	BYDV_PAS	BYDV_PAS	Crop	H3P	H3	Hordeum_vulgare
82	249	TuYV	TuYV	Crop	H3P	H3	Rubia_peregrina
55	137	BYDV_MAV	BYDV_MAV	Crop	H2P	H2	Hordeum_vulgare
53	131	BrYV	BrYV_ABJ	Edge	L4P	L4	Hirschfeldia_incana
55	134	BYDV_GAV	BYDV_GAV	Crop	H2P	H2	Hordeum_vulgare
40	209	PZSV	PZSV3	Edge	L3V	L3	Diplotaxis_erucoides
40	209	PZSV	PZSV1	Crop	M3V	M3	Diplotaxis_erucoides
19	181	MDMV	MDMV	Edge	L1F	L1	Brachypodium_retusum
40	209	PZSV	PZSV1	Edge	L3P	L3	Diplotaxis_erucoides
82	131	BrYV	BrYV_ABJ	Crop	H3P	H3	Rubia_peregrina
27	217	RuCMV	RuCMV	Crop	Z2V	Z2	Convolvulus_arvensis
55	138	BYDV_PAS	BYDV_PAS	Crop	H2P	H2	Hordeum_vulgare
40	217	RuCMV	RuCMV	Crop	Z1V	Z1	Diplotaxis_erucoides
2	249	TuYV	TuYV	Edge	L3F	L3	Amaranthus_sp
40	209	PZSV	PZSV2	Edge	L3V	L3	Diplotaxis_erucoides
69	181	MDMV	MDMV	Edge	L1V	L1	Milium_vernale
60	199	PMoV	PMoV3	Edge	L4P	L4	Lepidium_draba
53	128	BMYV	BMYV	Edge	L4P	L4	Hirschfeldia_incana
53	133	BWYV	BWYV	Edge	L4P	L4	Hirschfeldia_incana
8	236	TMGMV	TMGMV	Oak	Q1P	Q1	Aristolochia_pistolochia
2	128	BMYV	BMYV	Edge	L3F	L3	Amaranthus_sp
82	128	BMYV	BMYV	Crop	H3P	H3	Rubia_peregrina
82	133	BWYV	BWYV	Crop	H3P	H3	Rubia_peregrina
60	199	PMoV	PMoV3	Edge	L4F	L4	Lepidium_draba
89	217	RuCMV	RuCMV	Edge	L2F	L2	Solanum_nigrum
9	263	YoMV	YoMV	Wasteland	E1F	E1	Artemisia_herba_alba
20	249	TuYV	TuYV	Crop	C2F	C2	Brassica_oleracea
82	120	BChV	BChV	Crop	H3P	H3	Rubia_peregrina
25	209	PZSV	PZSV2	Edge	L3V	L3	Chenopodium_album
3	123	BCTIV	BCTIV	Edge	L3V	L3	Anacyclus_clavatus
40	199	PMoV	PMoV3	Edge	L4F	L4	Diplotaxis_erucoides
72	181	MDMV	MDMV	Edge	L4F	L4	Phalaris_minor
53	120	BChV	BChV	Edge	L4P	L4	Hirschfeldia_incana
71	163	EMDV	EMDV	Wasteland	E4P	E4	Papaver_rhoeas
55	139	BYDV_PAV	BYDV_PAV	Crop	H1P	H1	Hordeum_vulgare
20	131	BrYV	BrYV_ABJ	Crop	C1F	C1	Brassica_oleracea
31	258	WMV	WMV	Crop	M5V	M1	Cucumis_melo
20	131	BrYV	BrYV_ABJ	Crop	C2F	C2	Brassica_oleracea
20	249	TuYV	TuYV	Crop	C1F	C1	Brassica_oleracea
2	120	BChV	BChV	Edge	L3F	L3	Amaranthus_sp
40	247	TuMV	TuMV	Edge	L3P	L3	Diplotaxis_erucoides
101	174	IYMoV2	IYMoV2	Wasteland	E4P	E4	Tragopogon_sp
