id	type	taxon	cnt
1	host	Allium_sativum	16
2	host	Amaranthus_sp	402264
3	host	Anacyclus_clavatus	9292
4	host	Anchusa_undulata	452
5	host	Andryala_arenaria	14
6	host	Anthriscus_caucalis	3620
7	host	Aphyllanthes_monspeliensis	2
8	host	Aristolochia_pistolochia	8240
9	host	Artemisia_herba_alba	6180
10	host	Asparagus_acutifolius	396
11	host	Asphodelus_aestivus	26
12	host	Asteriscus_aquaticus	40
13	host	Astragalus_incanus	22
14	host	Avena_sterilis	172
15	host	Avenula_bromoides	10
16	host	Bassia_scoparia	14
17	host	Borago_officinalis	4
18	host	Brachypodium_phoenicoides	566
19	host	Brachypodium_retusum	14872
20	host	Brassica_oleracea	29436
21	host	Bromus_sp	4552
22	host	Carduus_bourgeanus	2720
23	host	Centaurea_melitensis	242
24	host	Centranthus_calcitrapae	1262
25	host	Chenopodium_album	751694
26	host	Cirsium_arvense	132
27	host	Convolvulus_arvensis	752566
28	host	Conyza_bonariensis	1014
29	host	Conyza_canadensis	140
30	host	Crataegus_monogyna	2
31	host	Cucumis_melo	2375704
32	host	Cynodon_dactylon	744
33	host	Cyperus_longus	160
34	host	Dactylis_glomerata	238
35	host	Datura_stramonium	1686
36	host	Daucus_sp	296
37	host	Desconocida_4	132
38	host	Desconocida_5	48
39	host	Descurainia_sophia	414
40	host	Diplotaxis_erucoides	1410776
41	host	Diplotaxis_sp	48
42	host	Diplotaxis_virgata	154
43	host	Dittrichia_viscosa	4
44	host	Echium_vulgare	156
45	host	Erodium_cicutarium	190
46	host	Eruca_vesicaria	442350
47	host	Eryngium_campestre	22
48	host	Festuca_sp	60
49	host	Fumaria_parviflora	1954
50	host	Galium_verum	232
51	host	Geranium_sp	420
52	host	Helichrysum_stoechas	158
53	host	Hirschfeldia_incana	56442
54	host	Hordeum_matritense	52
55	host	Hordeum_vulgare	256512
56	host	Hypericum_pubescens	14
57	host	Jasminum_fruticans	8
58	host	Lactuca_serriola	2886
59	host	Leontodon_sp	4034
60	host	Lepidium_draba	22234
61	host	Lithospermum_arvense	284
62	host	Lolium_perenne	1974
63	host	Lotus_corniculatus	18
64	host	Malva_sylvestris	1304
65	host	Marrubium_vulgare	46
66	host	Medicago_orbicularis	22
67	host	Medicago_sp	24
68	host	Melilotus_sp	6
69	host	Milium_vernale	9190
70	host	Odontites_luteus	38
71	host	Papaver_rhoeas	6216
72	host	Phalaris_minor	8918
73	host	Phlomis_lychnitis	10
74	host	Picris_echioides	2078
75	host	Plantago_sp	6
76	host	Poaceae	420
77	host	Portulaca_oleraceae	192316
78	host	Potentilla_sp	88
79	host	Quercus_coccifera	1020
80	host	Quercus_ilex	70
81	host	Reseda_lutea	74
82	host	Rubia_peregrina	49126
83	host	Rumex_pulcher	356
84	host	Salvia_verbenaca	6
85	host	Scandix_pecten_veneris	1710
86	host	Senecio_jacobaea	30
87	host	Silybum_marianum	810
88	host	Sisymbrium_runcinatum	70
89	host	Solanum_nigrum	6262
90	host	Sonchus_oleraceus	2896
91	host	Staehelina_dubia	408
92	host	Stipa_parviflora	154
93	host	Taraxacum_officinale	138
94	host	Teucrium_botrys	374
95	host	Teucrium_capitatum	90
96	host	Teucrium_chamaedrys	44
97	host	Teucrium_pseudochamaepitys	38
98	host	Thapsia_villosa	34
99	host	Thymus_vulgaris	34
100	host	Torilis_nodosa	44
101	host	Tragopogon_sp	3230
102	host	Trifolium_campestre	84
103	host	Trifolium_tomentosum	4
104	host	Verbascum_sinuatum	98
105	host	Vicia_sp	1192
106	host	Xanthium_strumarium	6
107	host	Zea_mays	68
108	virus	AEV1	12
109	virus	AEYV	34
110	virus	AGLV	14
111	virus	AhPV1	6
112	virus	ALaV	82
113	virus	AMCV	44
114	virus	AMMV	2
115	virus	AMoV	2
116	virus	AMV	6
117	virus	AV1	8
118	virus	BaVG	20
119	virus	BBSV	86
120	virus	BChV	19156
121	virus	BCMV	130
122	virus	BCRV	182
123	virus	BCTIV	5750
124	virus	BCTV	28
125	virus	BGLV	2
126	virus	BMCTV	452
127	virus	BMV	6
128	virus	BMYV	24224
129	virus	BPeMV	2
130	virus	BPEV	2
131	virus	BrYV	41622
132	virus	BSCTV	700
133	virus	BWYV	57752
134	virus	BYDV_GAV	46864
135	virus	BYDV_GPV	8
136	virus	BYDV_KerII	150
137	virus	BYDV_MAV	42058
138	virus	BYDV_PAS	30792
139	virus	BYDV_PAV	131212
140	virus	BYSMV	8
141	virus	CABMV	306
142	virus	CABYV	720
143	virus	CaMV	6
144	virus	CCFV	4
145	virus	CGMMV	4
146	virus	CIRV	64
147	virus	CLLV	1768
148	virus	CLRDV	148
149	virus	CLSV	120
150	virus	CmEV	4174
151	virus	CMV	2749154
152	virus	CMV_satRNA	26
153	virus	CNV	4
154	virus	CP1	94
155	virus	CpCSV	138
156	virus	CtRLV	12
157	virus	CYDV_RPS	1756
158	virus	CYDV_RPV	1014
159	virus	CymRSV	14
160	virus	DuMV	10
161	virus	DYVV	6
162	virus	EMCV	6
163	virus	EMDV	5376
164	virus	FClCV	2
165	virus	FMV	10
166	virus	FVY	22
167	virus	GALV	46
168	virus	GMMV	1928
169	virus	GRAV	2
170	virus	HRV	4
