species name;collection;site
Amaranthus_sp;C1F;C1
Brassica_oleracea;C1F;C1
Daucus_carota;C1F;C1
Diplotaxis_erucoides;C1F;C1
Malva_sylvestris;C1F;C1
Picris_echioides;C1F;C1
Rumex_pulcher;C1F;C1
Sisymbrium_runcinatum;C1F;C1
Stellaria_media;C1F;C1
Allium_sativum;C2F;C2
Brassica_oleracea;C2F;C2
Descurainia_sophia;C2F;C2
Diplotaxis_erucoides;C2F;C2
Erodium_cicutarium;C2F;C2
Klasea_pinnatifida;C2F;C2
Malva_sylvestris;C2F;C2
Rumex_pulcher;C2F;C2
Sisymbrium_runcinatum;C2F;C2
Sonchus_sp;C2F;C2
Stellaria_media;C2F;C2
Veronica_persica;C2F;C2
Brassica_oleracea;C3F;C1
Diplotaxis_erucoides;C3F;C1
Fumaria_parviflora;C3F;C1
Malva_sylvestris;C3F;C1
Silybum_marianum;C3F;C1
Sonchus_oleraceus;C3F;C1
Brassica_oleracea;C4F;C2
Convolvulus_arvensis;C4F;C2
Diplotaxis_erucoides;C4F;C2
Eruca_vesicaria;C4F;C2
Rubia_peregrina;C4F;C2
Sisymbrium_sp;C4F;C2
Sonchus_oleraceus;C4F;C2
Anchusa_undulata;E1F;E1
Artemisia_herba_alba;E1F;E1
Carduus_bourgeanus;E1F;E1
Convolvulus_arvensis;E1F;E1
Daucus_sp;E1F;E1
Descurainia_sophia;E1F;E1
Diplotaxis_erucoides;E1F;E1
Echium_vulgare;E1F;E1
Erodium_cicutarium;E1F;E1
Geranium_sp;E1F;E1
Leontodon_sp;E1F;E1
Marrubium_vulgare;E1F;E1
Plantago_albicans;E1F;E1
Plantago_sp;E1F;E1
Salvia_verbenaca;E1F;E1
Taraxacum_officinale;E1F;E1
Verbascum_sinuatum;E1F;E1
Artemisia_herba_alba;E1F2;E1
Centaurea_aspera;E1F2;E1
Chondrilla_juncea;E1F2;E1
Convolvulus_arvensis;E1F2;E1
Desconocida_4;E1F2;E1
Erodium_cicutarium;E1F2;E1
Foeniculum_vulgare;E1F2;E1
Galium_verum;E1F2;E1
Geranium_sp;E1F2;E1
Hedypnois_sp;E1F2;E1
Hieracium_pilosella;E1F2;E1
Leontodon_sp;E1F2;E1
Taraxacum_officinale;E1F2;E1
Verbascum_sinuatum;E1F2;E1
Anacyclus_clavatus;E1P;E1
Artemisia_herba_alba;E1P;E1
Astragalus_sesameus;E1P;E1
Atractylis_humilis;E1P;E1
Bromus_sp;E1P;E1
Carduus_bourgeanus;E1P;E1
Centaurea_melitensis;E1P;E1
Cirsium_arvense;E1P;E1
Coronilla_scorpioides;E1P;E1
Diplotaxis_erucoides;E1P;E1
Diplotaxis_sp;E1P;E1
Eryngium_campestre;E1P;E1
Geranium_sp;E1P;E1
Hordeum_matritense;E1P;E1
Marrubium_vulgare;E1P;E1
Medicago_minima;E1P;E1
Medicago_orbicularis;E1P;E1
Petrorhagia_nanteuillii;E1P;E1
Plantago_lagopus;E1P;E1
Plantago_sp;E1P;E1
Silybum_marianum;E1P;E1
Stipa_parviflora;E1P;E1
Taraxacum_officinale;E1P;E1
Teucrium_capitatum;E1P;E1
Trifolium_campestre;E1P;E1
Trifolium_tomentosum;E1P;E1
Trisetaria_panicea;E1P;E1
Verbascum_sinuatum;E1P;E1
Anacyclus_clavatus;E1P2;E1
Artemisia_herba_alba;E1P2;E1
Asteriscus_aquaticus;E1P2;E1
Avena_sterilis;E1P2;E1
Biscutella_laevigata;E1P2;E1
Carduus_bourgeanus;E1P2;E1
Centaurea_ornata;E1P2;E1
Diplotaxis_virgata;E1P2;E1
Erodium_cicutarium;E1P2;E1
Erodium_malacoides;E1P2;E1
Eryngium_campestre;E1P2;E1
Foeniculum_vulgare;E1P2;E1
Hordeum_matritense;E1P2;E1
Leontodon_sp;E1P2;E1
