TaxId	Biosample	Representative species	PAB-phyto	PAB-symb
178901	SAMN02849420	Acetobacter malorum		
441768	SAMN02603756	Acholeplasma laidlawii  PG-8A		
32002	SAMN06198582	Achromobacter denitrificans		
217204	SAMN06174288	Achromobacter insolitus		
72556	SAMN03941583	Achromobacter piechaudii		
1156919	SAMN01083790	Achromobacter piechaudii HLE		
1397275	SAMN02729851	Achromobacter sp. DH1f		
1736602	SAMN04155871	Achromobacter sp. Root83		
85698	SAMN03996290	Achromobacter xylosoxidans		
85698	SAMN04482112	Achromobacter xylosoxidans		
762376	SAMN02603404	Achromobacter xylosoxidans A8		
80867	SAMN04009978	Acidovorax avenae	P	
397945	SAMN02598334	Acidovorax citrulli AAC00-1	P	
999386	SAMN02469888	Acidovorax radicis N35		
1736280	SAMN04151660	Acidovorax sp. Leaf160		
1736296	SAMN04151676	Acidovorax sp. Leaf191		
1736237	SAMN04151617	Acidovorax sp. Leaf78		
1736492	SAMN04155761	Acidovorax sp. Root217		
1736565	SAMN04155834	Acidovorax sp. Root568		
1736590	SAMN04155859	Acidovorax sp. Root70		
470	SAMN02940899	Acinetobacter baumannii		
471	SAMN06197019	Acinetobacter calcoaceticus		
1242245	SAMN03268929	Acinetobacter johnsonii XBB1		
48296	SAMN04495667	Acinetobacter pittii		
40216	SAMN04520137	Acinetobacter radioresistens		
1193682	AMN0586 870	Actinokineospora bangkokensis		
1120935	SAMN02441427	Actinokineospora inagensis DSM 44258		
561175	AMN0244 028	Actinomadura flavalba DSM 45200		
1912961	SAMN05942569	Actinophytocola xanthii		
543632	SAMN02645318	Actinoplanes subtropicus		
1120950	AMN0244 435	Actinopolymorpha alba DSM 45243		
1736325	AMN0415 715	Aeromicrobium sp. Leaf291		
1907416	SAMN05880558	Aeromonas sp. RU39B		
1882747	SAMN05444050	Afipia sp. GAS231		
1736436	SAMN04155705	Afipia sp. Root123D2		
1735682	AMN0415 684	Agreia sp. Leaf210		
1736305	AMN0415 695	Agreia sp. Leaf244		
1156935	SAMN01084074	Agrobacterium albertimagni AOL15		
1585697	SAMN03265469	Agrobacterium arsenijevicii		
1763560	SAMN04299201	Agrobacterium bohemicum		
176299	SAMN02603108	Agrobacterium fabrum str. C58	P	
1336249	SAMN02584975	Agrobacterium larrymoorei AF3.10 = ATCC 51759		
311403	SAMN02602977	Agrobacterium radiobacter K84		
359	SAMN02787063	Agrobacterium rhizogenes	P	
359	SAMN02787122	Agrobacterium rhizogenes	P	
359	SAMN06314224	Agrobacterium rhizogenes	P	
28099	SAMN04901300	Agrobacterium rubi	P	
1183434	SAMEA3722818	Agrobacterium salinitolerans str. Hayward 363		
1907666	SAMEA4504211	Agrobacterium sp. DSM 25559		
1183431	SAMEA3722813	Agrobacterium sp. NCPPB 925		
1842536	SAMN04909720	Agrobacterium sp. RAC06		
358	SAMEA3139026	Agrobacterium tumefaciens	P	
358	SAMN02742263	Agrobacterium tumefaciens	P	
358	SAMN03267957	Agrobacterium tumefaciens	P	
358	SAMN03420836	Agrobacterium tumefaciens	P	
358	SAMN04226578	Agrobacterium tumefaciens	P	
358	SAMN04423123	Agrobacterium tumefaciens	P	
