Library_code;Host_taxon;Habitat;Collection_code;No_extracts
PV001;Amaranthus sp;Crop;M1V;8
PV002;Convolvulus arvensis;Crop;M1V;11
PV003;Cucumis melo;Crop;M1V;13
PV003bgi;Cucumis melo;Crop;M1V;13
PV004bgi;Cyperus longus;Crop;M1V;7
PV005bgi;Artemisia herba alba;Oak;Q1F;12
PV006bgi;Artemisia herba alba;Oak;Q1F;19
PV007bgi;Teucrium pseudochamaepitys;Oak;Q1F;17
PV008bgi;Jasminum fruticans;Oak;Q1F;11
PV009;Quercus coccifera;Oak;Q1F;13
PV009bgi;Quercus coccifera;Oak;Q1F;13
PV010bgi;Quercus ilex;Oak;Q1F;10
PV011;Portulaca oleraceae;Crop;M1V;7
PV012bgi;Chenopodium album;Crop;M2V;7
PV013bgi;Solanum nigrum;Crop;M2V;9
PV014;Datura stramonium;Crop;M2V;8
PV015bgi;Cucumis melo;Crop;M2V;11
PV016;Cucumis melo;Crop;M3V;16
PV017bgi;Lithospermum arvense;Crop;M3V;12
PV018bgi;Cucumis melo;Crop;M4V;16
PV020bgi;Lithospermum arvense;Crop;M4V;10
PV021bgi;Cucumis melo;Crop;M1V;13
PV022;Taraxacum officinale;Wasteland;E4F;23
PV023;Leontodon sp;Wasteland;E4F;24
PV024;Verbascum sinuatum;Wasteland;E4F;15
PV025;Geranium sp;Wasteland;E4F;8
PV026;Hieracium pilosella;Wasteland;E4F;7
PV027;Festuca sp;Wasteland;E4F;14
PV028;Rubia peregrina;Edge;L1V;6
PV029;Picris echioides;Edge;L1V;8
PV030;Milium vernale;Edge;L1V;7
PV031;Convolvulus arvensis;Edge;L2F;9
PV032;Brachypodium retusum;Edge;L2F;10
PV033;Amaranthus sp;Edge;L2F;10
PV034;Brachypodium retusum;Edge;L4F;8
PV035;Quercus coccifera;Oak;Q2F;17
PV036;Quercus ilex;Oak;Q2F;31
PV037;Asparagus acutifolius;Oak;Q2F;27
PV041;Avenula bromoides;Oak;Q3F;20
PV042;Quercus coccifera;Oak;Q3F;14
PV046;Carduus bourgeanus;Crop;Z1V;7
PV047;Zea mays;Crop;Z2V;13
PV048;Desconocida 4;Crop;Z2V;9
PV049;Datura stramonium;Crop;Z1V;11
PV050;Xanthium strumarium;Crop;Z1V;18
PV051;Lotus corniculatus;Oak;Q4P;13
PV052;Astragalus incanus;Oak;Q4P;10
PV053;Astragalus incanus;Oak;Q4P;7
PV054;Thymus vulgaris;Oak;Q4P;8
PV055;Thymus vulgaris;Oak;Q4P;8
PV056;Melilotus sp;Oak;Q4P;5
PV057;Medicago orbicularis;Wasteland;E4P;16
PV058;Vicia sp;Wasteland;E4P;11
PV059;Tragopogon sp;Wasteland;E4P;10
PV060;Reseda lutea;Wasteland;E4P;5
PV061;Cucumis melo;Crop;M5V;26
PV062;Cucumis melo;Crop;M7V;46
PV063;Cucumis melo;Crop;M8V;27
PV064;Artemisia herba alba;Wasteland;E1F;21
PV065;Diplotaxis erucoides;Wasteland;E1F;19
