OTU reference;OTUs name;Family;Genome;Host range;Habitat range;H.R. Crop;H.R. Edge;H.R. Oak;H.R. Wast.
AMV;Alfamovirus 1;Bromoviridae;(+)ssRNA;3;2;0;0;1;2
CmEV;Alphaendornavirus 1;Endornaviridae;dsRNA;9;3;3;4;2;0
BPEV;Alphaendornavirus 2;Endornaviridae;dsRNA;1;1;0;0;0;1
HvEV;Alphaendornavirus 3;Endornaviridae;dsRNA;3;2;2;1;0;0
OLV1;Alphanecrovirus 1;Tombusviridae;(+)ssRNA;1;1;0;1;0;0
OMMV;Alphanecrovirus 2;Tombusviridae;(+)ssRNA;1;1;0;1;0;0
PNV;Alphanecrovirus 3;Tombusviridae;(+)ssRNA;1;1;0;1;0;0
AhPV1;Alphapartitivirus 1;Partitiviridae;dsRNA;1;1;0;0;1;0
VCV;Alphapartitivirus 2;Partitiviridae;dsRNA;1;1;0;0;0;1
PZSV;Anulavirus 1;Bromoviridae;(+)ssRNA;59;4;5;51;6;4
CLSV;Aureusvirus 1;Tombusviridae;(+)ssRNA;1;1;0;1;0;0
PoLV;Aureusvirus 2;Tombusviridae;(+)ssRNA;1;2;1;1;0;0
YSV;Aureusvirus 3;Tombusviridae;(+)ssRNA;2;1;0;2;0;0
BCTIV;Becurtovirus 1;Geminiviridae;ssDNA;7;1;0;7;0;0
SCTAV;Becurtovirus 2;Geminiviridae;ssDNA;1;1;0;1;0;0
ToLCNDV;Begomovirus 3;Geminiviridae;ssDNA;1;1;0;1;0;0
CCFV;Betacarmovirus 1;Tombusviridae;(+)ssRNA;2;2;0;1;0;1
RCCV;Betapartitivirus 1;Partitiviridae;dsRNA;2;1;0;0;2;0
BMV;Bromovirus 1;Bromoviridae;(+)ssRNA;3;2;0;1;0;2
TCV;Carmovirus 1;Tombusviridae;(+)ssRNA;22;4;1;6;11;8
CaMV;Caulimovirus 1;Caulimoviridae;dsDNA;1;1;0;1;0;0
LLDAV;Caulimovirus 2;Caulimoviridae;dsDNA;1;2;1;1;0;0
SbMMoV;Caulimovirus 3;Caulimoviridae;dsDNA;2;2;1;2;0;0
AMMV;Caulimovirus 4;Caulimoviridae;dsDNA;1;1;1;0;0;0
SPCSV;Crinivirus 1;Closteroviridae;(+)ssRNA;5;3;1;5;0;1
CMV;Cucumovirus 1;Bromoviridae;(+)ssRNA;84;4;14;46;32;16
GMMV;Cucumovirus 2;Bromoviridae;(+)ssRNA;18;3;4;14;1;0
TAV;Cucumovirus 3;Bromoviridae;(+)ssRNA;33;4;5;27;4;1
PSV;Cucumovirus 4;Bromoviridae;(+)ssRNA;2;2;0;1;0;1
BCTV;Curtovirus 1;Geminiviridae;ssDNA;1;1;0;1;0;0
BMCTV;Curtovirus 2;Geminiviridae;ssDNA;1;1;0;1;0;0
BSCTV;Curtovirus 3;Geminiviridae;ssDNA;2;1;0;2;0;0
PeYDV;Curtovirus 4;Geminiviridae;ssDNA;2;1;0;2;0;0
SpSCTV;Curtovirus 5;Geminiviridae;ssDNA;1;1;0;1;0;0
BYSMV;Cytorhabdovirus 1;Rhabdoviridae;(-)ssRNA;1;1;0;1;0;0
RsCV1;Deltapartitivirus 1;Partitiviridae;dsRNA;1;1;0;0;1;0
RsCV2;Deltapartitivirus 4;Partitiviridae;dsRNA;1;1;0;0;0;1
RsCV3;Deltapartitivirus 5;Partitiviridae;dsRNA;2;2;0;1;0;1
FClCV;Deltapartitivirus 2;Partitiviridae;dsRNA;1;1;1;0;0;0
PCV2;Deltapartitivirus 3;Partitiviridae;dsRNA;1;1;1;0;0;0
FMV;Emaravirus 1;Fimoviridae;(-)ssRNA;1;1;0;0;0;1
RRV;Emaravirus 2;Fimoviridae;(-)ssRNA;1;1;0;0;0;1
AEV1;Enamovirus 3;Luteoviridae;(+)ssRNA;1;1;0;0;1;0
PEMV1;Enamovirus 4;Luteoviridae;(+)ssRNA;1;1;0;0;1;0
PMoV;Ilarvirus 1;Bromoviridae;(+)ssRNA;35;2;1;34;0;0
SNSV;Ilarvirus 2;Bromoviridae;(+)ssRNA;2;1;0;2;0;0
AGLV;Ilarvirus 3;Bromoviridae;(+)ssRNA;1;1;0;1;0;0
BCRV;Ilarvirus 4;Bromoviridae;(+)ssRNA;3;1;0;3;0;0
PDV;Ilarvirus 5;Bromoviridae;(+)ssRNA;2;2;0;0;1;1
PNRSV;Ilarvirus 6;Bromoviridae;(+)ssRNA;2;1;0;0;2;0
TSV;Ilarvirus 7;Bromoviridae;(+)ssRNA;3;1;0;3;0;0
BYDV_GAV;Luteovirus 1;Luteoviridae;(+)ssRNA;7;2;4;3;0;0
BYDV_MAV;Luteovirus 2;Luteoviridae;(+)ssRNA;4;2;3;2;0;0
BYDV_PAS;Luteovirus 3;Luteoviridae;(+)ssRNA;7;3;4;2;0;1
BYDV_PAV;Luteovirus 4;Luteoviridae;(+)ssRNA;10;3;8;2;0;1
SbDV;Luteovirus 5;Luteoviridae;(+)ssRNA;1;1;0;1;0;0
BYDV_GPV;Luteovirus 6;Luteoviridae;(+)ssRNA;1;1;1;0;0;0
BYDV_KerII;Luteovirus 7;Luteoviridae;(+)ssRNA;1;1;1;0;0;0
