Library code;Host taxon;Habitat;Collection code;Original filename;Read pairs;QC reads;Raw BLAST count;6C count;% Viral QC
PV001;Amaranthus sp;Crop;M1V;PV1_18807_ATCACG;5954680;5946540;2343;234;0.003935061
PV002;Convolvulus arvensis;Crop;M1V;PV2_18808_TGACCA;7649947;7626282;833987;265334;3.479205201
PV003;Cucumis melo;Crop;M1V;PV3_16716_GGCTAC;23688288;23661912;436830;111138;0.469691545
PV003bgi;Cucumis melo;Crop;M1V;FCH5VT5ALXX_L5_HKRDPLAgshTAACRAAPEI_203;3973281;3942675;603732;153740;3.899383033
PV004bgi;Cyperus longus;Crop;M1V;FCH5VT5ALXX_L5_HKRDPLAgshTAADRAAPEI_204;3989145;3947929;4052;160;0.004052758
PV005bgi;Artemisia herba alba;Oak;Q1F;FCH5VT5ALXX_L5_HKRDPLAgshTAAERAAPEI_205;4187432;4150048;4993;14;0.000337345
PV006bgi;Artemisia herba alba;Oak;Q1F;FCH5VT5ALXX_L5_HKRDPLAgshTAAFRAAPEI_206;4110550;4071402;3672;8;0.000196493
PV007bgi;Teucrium pseudochamaepitys;Oak;Q1F;FCH5VT5ALXX_L5_HKRDPLAgshTAAGRAAPEI_207;4004581;3964385;1149;18;0.000454043
PV008bgi;Jasminum fruticans;Oak;Q1F;FCH5VT5ALXX_L5_HKRDPLAgshTAAHRAAPEI_208;4161429;4124556;1531;8;0.00019396
PV009;Quercus coccifera;Oak;Q1F;PV9_16717_GTCCGC;23515603;23503071;5529;464;0.00197421
PV009bgi;Quercus coccifera;Oak;Q1F;FCH5VT5ALXX_L5_HKRDPLAgshTAAIRAAPEI_209;4276877;4188968;4135;6;0.000143233
PV010bgi;Quercus ilex;Oak;Q1F;FCH5VT5ALXX_L5_HKRDPLAgshTAAJRAAPEI_210;4047126;4010743;2906;6;0.000149598
PV011;Portulaca oleraceae;Crop;M1V;PV11_18809_CGATGT;7983233;7970932;625531;192316;2.412716606
PV012bgi;Chenopodium album;Crop;M2V;FCH5VT5ALXX_L5_HKRDPLAgshTAALRAAPEI_212;4092409;4058198;590;8;0.000197132
PV013bgi;Solanum nigrum;Crop;M2V;FCH5VT5ALXX_L5_HKRDPLAgshTAAMRAAPEI_213;3817203;3777883;80400;NA;NA
PV014;Datura stramonium;Crop;M2V;PV14_18810_ACTTGA;6633149;6627443;26583;928;0.014002384
PV015bgi;Cucumis melo;Crop;M2V;FCH5VT5ALXX_L6_HKRDPLAgshTAAORAAPEI_215;4088166;4056040;821962;227810;5.616561967
PV016;Cucumis melo;Crop;M3V;PV16_16718_ACTGAT;23293342;23288046;5425;684;0.002937129
PV017bgi;Lithospermum arvense;Crop;M3V;FCH5VT5ALXX_L7_HKRDPLAgshTAAQRAAPEI_218;3854255;3817643;1515;NA;NA
PV018bgi;Cucumis melo;Crop;M4V;FCH5VT5ALXX_L7_HKRDPLAgshTAARRAAPEI_219;3714091;3678772;5075;1172;0.031858457
PV020bgi;Lithospermum arvense;Crop;M4V;FCH5VT5ALXX_L6_HKRDPLAgshTAATRAAPEI_221;3932961;3901426;760;20;0.000512633
PV021bgi;Cucumis melo;Crop;M1V;FCH5VT5ALXX_L6_HKRDPLAgshTAAURAAPEI_222;4083457;4046605;690821;187372;4.630350627
PV022;Taraxacum officinale;Wasteland;E4F;PV22_22501_TTAGGC;9828189;9824627;1557;124;0.001262134
PV023;Leontodon sp;Wasteland;E4F;PV23_22502_TGACCA;11174534;11165452;1373;48;0.000429898
PV024;Verbascum sinuatum;Wasteland;E4F;PV24_18194_ACAGTG;5041917;5041673;896;68;0.001348759
PV025;Geranium sp;Wasteland;E4F;PV25_22503_ACAGTG;10699811;10694663;744;NA;NA
PV026;Hieracium pilosella;Wasteland;E4F;PV26_18196_CTTGTA;4887557;4887149;1627;NA;NA
PV027;Festuca sp;Wasteland;E4F;PV27_22504_GCCAAT;14707449;14701415;278;60;0.000408124
PV028;Rubia peregrina;Edge;L1V;PV28_22505_CAGATC;10864963;10861389;3211;284;0.002614767
PV029;Picris echioides;Edge;L1V;PV029_22506_TAGCTT_L005;9146956;9138587;2181;296;0.003239013
PV030;Milium vernale;Edge;L1V;PV030_22507_GGCTAC_L005;6484877;6481807;74749;9082;0.140115249
PV031;Convolvulus arvensis;Edge;L2F;PV31_22508_CTTGTA;14999088;14994961;9182;698;0.004654897
PV032;Brachypodium retusum;Edge;L2F;PV32_22509_CGTACG;13410752;13406870;5098;530;0.003953197
PV033;Amaranthus sp;Edge;L2F;PV033_22517_TAGCTT_L006;3196467;3195914;2570247;335956;10.51204757
PV034;Brachypodium retusum;Edge;L4F;PV34_18815_GATCAG;7721599;7713141;1273;212;0.002748556
PV035;Quercus coccifera;Oak;Q2F;PV35_22510_ACTGAT;16937697;16933963;2848;124;0.000732256
PV036;Quercus ilex;Oak;Q2F;PV36_18197_AGTTCC;5570142;5569556;2681;12;0.000215457
PV037;Asparagus acutifolius;Oak;Q2F;PV37_18195_GCCAAT;4897915;4897569;4822;24;0.000490039
PV041;Avenula bromoides;Oak;Q3F;PV41_18199_GAGTGG;5575909;5575223;1758;10;0.000179365
PV042;Quercus coccifera;Oak;Q3F;PV42_22511_ATTCCT;9958240;9937788;4268;380;0.003823789
PV046;Carduus bourgeanus;Crop;Z1V;PV46_18814_GTGGCC;7895382;7890677;2196;226;0.00286414
PV047;Zea mays;Crop;Z2V;PV47_18811_GTCCGC;8017390;7994941;83;12;0.000150095
PV048;Desconocida 4;Crop;Z2V;PV48_18198_GTGAAA;5259292;5258871;861;6;0.000114093
PV049;Datura stramonium;Crop;Z1V;PV49_18812_TAGCTT;5590249;5583772;2195;10;0.00017909
PV050;Xanthium strumarium;Crop;Z1V;PV50_18813_CCGTCC;6981364;6973592;513;6;8.60389E-05
PV051;Lotus corniculatus;Oak;Q4P;PV051_22518_ACTTGA;9859613;9857161;1741;18;0.000182608
PV052;Astragalus incanus;Oak;Q4P;PV052_22519_AGTCAA;6983633;6982270;8304;10;0.00014322
PV053;Astragalus incanus;Oak;Q4P;PV053_22520_AGTTCC;8129753;8127754;7421;12;0.000147642
PV054;Thymus vulgaris;Oak;Q4P;PV054_22521_ATGTCA;7685062;7683371;4110;26;0.000338393
PV055;Thymus vulgaris;Oak;Q4P;PV55_22522_GTGAAA;12451994;12449793;1884;8;6.42581E-05
PV056;Melilotus sp;Oak;Q4P;PV056_22523_GTGGCC;10076082;10074765;3809;6;5.95547E-05
PV057;Medicago orbicularis;Wasteland;E4P;PV057_22524_GTTTCG;8180991;8180020;1139;22;0.000268948
PV058;Vicia sp;Wasteland;E4P;PV058_22525_GAGTGG;10206662;10205049;3616;10;9.79907E-05
PV059;Tragopogon sp;Wasteland;E4P;PV059_22526_ATCACG_L004;7291497;7288793;67434;3230;0.044314607
PV060;Reseda lutea;Wasteland;E4P;PV60_22527_CGATGT;12349174;12346616;26546;20;0.000161988
PV061;Cucumis melo;Crop;M5V;PV61_22528_ACAGTG;11585363;11582961;4069959;1691876;14.60659325
PV062;Cucumis melo;Crop;M7V;PV062_22529_GCCAAT;4217491;4216752;8219;952;0.022576618
PV063;Cucumis melo;Crop;M8V;PV063_22530_GTCCGC;4885739;4884572;9042;960;0.019653718
PV064;Artemisia herba alba;Wasteland;E1F;PV64_21351_GCCAAT;10087157;10084433;15464;6158;0.061064415
PV065;Diplotaxis erucoides;Wasteland;E1F;PV065_21352_TAGCTT;8523872;8520968;802;12;0.000140829
PV066;Carduus bourgeanus;Wasteland;E1F;PV066_21353_GGCTAC;11685370;11682872;4367;NA;NA
PV068;Leontodon sp;Wasteland;E1F;PV068_21355_TTAGGC;6428329;6427045;3938;NA;NA
PV069;Plantago sp;Wasteland;E1F;PV069_21356_GATCAG;5998046;5996299;574;6;0.000100062
PV070;Descurainia sophia;Wasteland;E1F;PV70_21357_GTCCGC;18068309;18064058;715;392;0.002170055
PV071;Salvia verbenaca;Wasteland;E1F;PV71_21358_ACTGAT;17088184;17085131;9;6;3.51183E-05
PV072;Taraxacum officinale;Wasteland;E1F;PV072_21359_GCCAAT;4241034;4239410;2576;6;0.000141529
PV074;Leontodon sp;Wasteland;E2F;PV074_21360_ACTTGA;7193972;7192272;3188;18;NA
PV075;Taraxacum officinale;Wasteland;E2F;PV75_21361_GTCCGC;13870211;13867017;8169;8;5.76909E-05
PV076;Verbascum sinuatum;Wasteland;E2F;PV076_21362_CGTACG;8353031;8351891;2127;26;0.000311307
PV078;Bromus sp;Wasteland;E4F;PV78_22314_ATCACG;11106536;11089216;683;116;0.001046061
PV079;Convolvulus arvensis;Wasteland;E4F;PV79_22315_CGATGT;15490950;15468789;11042;102;0.000659392
PV080;Odontites luteus;Oak;Q4F;PV80_22316_TTAGGC;13438837;13417426;20121;38;0.000283214
PV081;Lithospermum arvense;Edge;L3V;PV81_22317_TGACCA;14996665;14937659;3715;264;0.001767345
PV082;Marrubium vulgare;Oak;Q1F;PV82_22318_ACAGTG;17812167;17793484;4547;30;0.000168601
PV083;Teucrium pseudochamaepitys;Oak;Q1P;PV83_22319_GCCAAT;16115243;16095940;480;2;1.24255E-05
PV084;Teucrium capitatum;Oak;Q1P;PV84_22320_CAGATC;16484586;16466273;79703;90;0.000546572
PV085;Avena sterilis;Wasteland;E4P;PV85_22321_ACTTGA;13682368;13666765;560;172;0.001258528
PV086;Verbascum sinuatum;Wasteland;E4P;PV86_22322_GATCAG;13066607;13054802;2270;4;3.06401E-05
PV087;Echium vulgare;Wasteland;E4P;PV87_22323_TAGCTT;16197217;16182425;7433;36;0.000222464
PV088;Andryala arenaria;Oak;Q1P;PV88_22324_GGCTAC;17328847;17311151;2021;14;8.08727E-05
PV089;Marrubium vulgare;Oak;Q1P;PV89_22325_CTTGTA;17259879;17254140;3120;16;9.27314E-05
PV090;Dactylis glomerata;Oak;Q4P;PV90_22326_AGTCAA;17870000;17862291;17;NA;NA
PV091;Galium verum;Oak;Q4P;PV91_22327_AGTTCC;17798297;17794558;1782;16;8.99151E-05
PV092;Anchusa undulata;Wasteland;E1F;PV92_22328_ATGTCA;14747127;14731006;18300;24;0.000162922
PV093;Jasminum fruticans;Oak;Q1P;PV93_22329_CCGTCC;14948937;14925024;10658;NA;NA
PV094;Hypericum pubescens;Oak;Q1P;PV94_22330_GTCCGC;14705858;14699064;7548;14;9.52442E-05
PV095;Diplotaxis virgata;Oak;Q1P;PV95_23317_AGTCAA;29149632;29149382;1099;154;0.000528313
PV096;Milium vernale;Edge;L2V;PV96_22332_GTGGCC;15707443;15664891;893;108;0.00068944
PV097;Convolvulus arvensis;Edge;L2V;PV97_22531_GTTTCG;29491901;29460201;5554;8;2.71553E-05
PV098;Picris echioides;Wasteland;E2F;PV98_22334_CGTACG;14711551;14648993;3000;10;6.82641E-05
PV099;Anchusa undulata;Wasteland;E2F;PV99_22335_GAGTGG;15151662;15122722;17389;50;0.000330628
PV100;Aphyllanthes monspeliensis;Oak;Q4P;PV100_22336_ACTGAT;17358309;17317367;833;2;1.15491E-05
PV101;Asparagus acutifolius;Oak;Q2P;PV101_22756_ACAGTG;7934683;7934162;2970;234;0.002949272
