;Library;Host;Host_taxid;OTU;NCBI_accession;Habitat;Habitat_labels;Site;Location;Longitude;Latitude;Date;OTU name;Family;NCBI_title;Genome;BLAST_matches
0;PV091;Galium verum;462873;AEV1;NC_029993;Oak;11 - forest or woodland;Q4;Mondéjar;-3.137145;40.345348;['31/5/16', '3/5/17'];Enamovirus 3;Luteoviridae;Alfalfa enamovirus 1;(+)ssRNA;12.0
1;PV059;Tragopogon sp;;AEYV;NC_034207;Wasteland;25 - fallow land;E4;Mondéjar;-3.131139;40.494167;['31/5/16', '3/5/17'];Polerovirus 1;Luteoviridae;African eggplant yellowing virus;(+)ssRNA;34.0
2;PV159;Carduus bourgeanus;1338475;AEYV;NC_034207;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['16/7/15', '20/7/16'];Polerovirus 1;Luteoviridae;African eggplant yellowing virus;(+)ssRNA;34.0
3;PV182;Lactuca serriola;75943;AEYV;NC_034207;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Polerovirus 1;Luteoviridae;African eggplant yellowing virus;(+)ssRNA;34.0
4;PV498;Rubia peregrina;29801;AEYV;NC_034207;Crop;21 - field;H3;Tielmes;-3.253943;40.245852;['21/4/16'];Polerovirus 1;Luteoviridae;African eggplant yellowing virus;(+)ssRNA;34.0
5;PV157;Lepidium draba;153317;AGLV;NC_022127;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Ilarvirus 3;Bromoviridae;Ageratum latent virus RNA 1;(+)ssRNA;14.0
6;PV094;Hypericum pubescens;1137014;AhPV1;NC_030889;Oak;11 - forest or woodland;Q1;Aranjuez;-3.39183;39.59552;['23/5/16', '10/5/17'];Alphapartitivirus 1;Partitiviridae;Arabidopsis halleri partitivirus 1;dsRNA;6.0
7;PV032;Brachypodium retusum;52142;ALaV;MH899120;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['19/11/15', '10/11/16'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
8;PV078;Bromus sp;;ALaV;MH899120;Wasteland;25 - fallow land;E4;Mondéjar;-3.131139;40.494167;['4/11/15', '27/10/16'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
9;PV080;Odontites luteus;691781;ALaV;MH899120;Oak;11 - forest or woodland;Q4;Mondéjar;-3.137145;40.345348;['21/9/15', '27/10/16'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
10;PV088;Andryala arenaria;1571139;ALaV;MH899120;Oak;11 - forest or woodland;Q1;Aranjuez;-3.39183;39.59552;['23/5/16', '10/5/17'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
11;PV094;Hypericum pubescens;1137014;ALaV;MH899120;Oak;11 - forest or woodland;Q1;Aranjuez;-3.39183;39.59552;['23/5/16', '10/5/17'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
12;PV107;Quercus coccifera;58335;ALaV;MH899120;Oak;11 - forest or woodland;Q2;San Martín de la Vega;-3.530613;40.225155;['23/5/16', '10/5/17'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
